Title;Categories
Scripta Materialia;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Metals and Alloys (Q1); Nanoscience and Nanotechnology (Q1)"
AIDS;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
Developmental Psychology;"Demography (Q1); Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1)"
Integrative Medicine Insights;Complementary and Alternative Medicine (Q1)
Journal of the Peripheral Nervous System;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
ACM Transactions on Software Engineering and Methodology;Software (Q1)
Marketing Theory;Marketing (Q1)
Non-coding RNA;"Biochemistry (Q1); Genetics (Q1); Molecular Biology (Q1)"
Technometrics;"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)"
Applied Psychology: Health and Well-Being;Applied Psychology (Q1)
Biofabrication;"Biochemistry (Q1); Bioengineering (Q1); Biomaterials (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1)"
Immunity and Ageing;"Aging (Q1); Immunology (Q1)"
International Journal of Eating Disorders;Psychiatry and Mental Health (Q1)
European Child and Adolescent Psychiatry;"Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Philosophy (Q1); Psychiatry and Mental Health (Q1)"
Inflammation and Regeneration;"Cell Biology (Q1); Immunology (Q1); Immunology and Allergy (Q1)"
Reviews in Fisheries Science and Aquaculture;"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1)"
Computers and Geotechnics;"Computer Science Applications (Q1); Geotechnical Engineering and Engineering Geology (Q1)"
Corrosion Science;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
Journal of Environmental Informatics;"Computer Science Applications (Q1); Decision Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
Quaternary Science Reviews;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)"
International Journal of Intelligent Systems;"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)"
Advances in Life Course Research;Life-span and Life-course Studies (Q1)
Behavior Therapy;Clinical Psychology (Q1)
Current Opinion in HIV and AIDS;"Hematology (Q1); Immunology (Q1); Infectious Diseases (Q1); Oncology (Q1); Oncology (nursing) (Q1); Virology (Q2)"
Child Abuse and Neglect;"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Social Work (Q1)"
International Business Review;"Business and International Management (Q1); Finance (Q1); Marketing (Q1)"
Telematics and Informatics;"Communication (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)"
Clinical Pharmacology and Therapeutics;"Pharmacology (Q1); Pharmacology (medical) (Q1)"
European Journal of General Practice;"Family Practice (Q1); Medicine (miscellaneous) (Q1)"
European Journal of Preventive Cardiology;"Cardiology and Cardiovascular Medicine (Q1); Epidemiology (Q1)"
Expert Review of Vaccines;"Drug Discovery (Q1); Immunology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
Mineralium Deposita;"Economic Geology (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1)"
Diversity and Distributions;Ecology, Evolution, Behavior and Systematics (Q1)
JACC: CardioOncology;"Cardiology and Cardiovascular Medicine (Q1); Oncology (Q1)"
Journal of Leukocyte Biology;"Cell Biology (Q1); Immunology (Q1); Immunology and Allergy (Q1)"
Ocular Surface;Ophthalmology (Q1)
Current Forestry Reports;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Forestry (Q1); Nature and Landscape Conservation (Q1)"
British Journal of Health Psychology;"Applied Psychology (Q1); Medicine (miscellaneous) (Q1)"
Combustion and Flame;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
Environmental Science and Policy;"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
European Psychiatry;Psychiatry and Mental Health (Q1)
Journal of Bone and Mineral Research;"Endocrinology, Diabetes and Metabolism (Q1); Orthopedics and Sports Medicine (Q1)"
Molecular and Cellular Biology;"Cell Biology (Q1); Molecular Biology (Q1)"
Energy and Buildings;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1)"
EuroIntervention;"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1)"
Journal of Computational and Graphical Statistics;"Discrete Mathematics and Combinatorics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Social Psychiatry and Psychiatric Epidemiology;"Epidemiology (Q1); Health (social science) (Q1); Psychiatry and Mental Health (Q1); Social Psychology (Q1)"
SIAM Journal of Scientific Computing;"Applied Mathematics (Q1); Computational Mathematics (Q1)"
International Journal of Artificial Intelligence;Artificial Intelligence (Q1)
IEEE Transactions on Intelligent Vehicles;"Artificial Intelligence (Q1); Automotive Engineering (Q1); Control and Optimization (Q1)"
Journal of Molecular Diagnostics;"Molecular Medicine (Q1); Pathology and Forensic Medicine (Q1)"
Monthly Notices of the Royal Astronomical Society;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
Obesity;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
Thrombosis Research;Hematology (Q1)
British Journal of Haematology;Hematology (Q1)
Coastal Engineering;"Environmental Engineering (Q1); Ocean Engineering (Q1)"
Diabetes Research and Clinical Practice;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Medicine (miscellaneous) (Q1)"
Physical Review D;"Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1)"
DNA Repair;"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
Evolution and Human Behavior;"Arts and Humanities (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Experimental and Cognitive Psychology (Q1)"
Geography Compass;"Atmospheric Science (Q1); Computers in Earth Sciences (Q1); Earth-Surface Processes (Q1); Social Sciences (miscellaneous) (Q1); Water Science and Technology (Q1)"
Decision Sciences;"Business, Management and Accounting (miscellaneous) (Q1); Information Systems and Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
People and Nature;Ecology, Evolution, Behavior and Systematics (Q1)
ACS Pharmacology and Translational Science;"Pharmacology (Q1); Pharmacology (medical) (Q1)"
Artificial Intelligence;"Artificial Intelligence (Q1); Linguistics and Language (Q1)"
Thyroid;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1)"
IEEE Control Systems Letters;"Control and Optimization (Q1); Control and Systems Engineering (Q1)"
JCO clinical cancer informatics;"Cancer Research (Q1); Health Informatics (Q1); Oncology (Q1)"
Organic Letters;"Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
RMD Open;"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
Computer Graphics Forum;"Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1)"
Environment and Planning A;"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
American Naturalist;Ecology, Evolution, Behavior and Systematics (Q1)
Journal of Epidemiology and Community Health;"Epidemiology (Q1); Public Health, Environmental and Occupational Health (Q1)"
Journal of Telemedicine and Telecare;Health Informatics (Q1)
Molecular Autism;"Developmental Biology (Q1); Developmental Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
Society and Mental Health;"Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
Biochemical Society Transactions;Biochemistry (Q1)
Geophysics;"Energy (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1)"
Transfusion Medicine Reviews;"Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Hematology (Q1)"
Academic Medicine;"Education (Q1); Medicine (miscellaneous) (Q1)"
Agriculture, Ecosystems and Environment;"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Ecology (Q1)"
Handbook of Computational Economics;"Computer Science Applications (Q1); Economics and Econometrics (Q1)"
Cell and Bioscience;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
Energy Conversion and Management: X;"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
European Heart Journal - Cardiovascular Pharmacotherapy;"Cardiology and Cardiovascular Medicine (Q1); Pharmacology (medical) (Q1)"
European Journal of Neurology;"Neurology (Q1); Neurology (clinical) (Q1)"
Acta Biomaterialia;"Biochemistry (Q1); Biomaterials (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
Ambio;"Ecology (Q1); Environmental Chemistry (Q1); Geography, Planning and Development (Q1); Medicine (miscellaneous) (Q1)"
Frontiers in Cellular Neuroscience;Cellular and Molecular Neuroscience (Q1)
Journal of Financial Markets;"Economics and Econometrics (Q1); Finance (Q1)"
Policy Sciences;"Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
Production Planning and Control;"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
European Journal of Work and Organizational Psychology;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
Neurocomputing;"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)"
Research and Politics;"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
Current Opinion in Behavioral Sciences;"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Psychiatry and Mental Health (Q1)"
Journal of Management Inquiry;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Molecular Biology of the Cell;"Cell Biology (Q1); Molecular Biology (Q1)"
European Economic Review;"Economics and Econometrics (Q1); Finance (Q1)"
Financial Analysts Journal;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Journal of Financial Stability;"Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1)"
Cities;"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)"
Psychiatry Research;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
Composites - Part A: Applied Science and Manufacturing;"Ceramics and Composites (Q1); Mechanics of Materials (Q1)"
Health Services Research;Health Policy (Q1)
Climate Policy;"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
Distance Education;"Education (Q1); E-learning (Q1)"
Oxford Bulletin of Economics and Statistics;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Current Opinion in Ophthalmology;"Medicine (miscellaneous) (Q1); Ophthalmology (Q1)"
Early Childhood Research Quarterly;"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)"
journal of prevention of Alzheimer's disease, The;"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
Advances in Cancer Research;"Cancer Research (Q1); Oncology (Q1)"
Journal of Economics and Management Strategy;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Journal of Research in Crime and Delinquency;Social Psychology (Q1)
Nonlinear Analysis: Hybrid Systems;"Analysis (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1)"
Transactions of the American Mathematical Society;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
Anesthesiology;Anesthesiology and Pain Medicine (Q1)
Retina;"Medicine (miscellaneous) (Q1); Ophthalmology (Q1)"
Chaos, Solitons and Fractals;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)"
Cognitive Psychology;"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
International Endodontic Journal;Dentistry (miscellaneous) (Q1)
Histopathology;"Histology (Q1); Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
npj Biofilms and Microbiomes;"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Microbiology (Q1)"
Journal of Human Evolution;"Anthropology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Education (Q1)"
Language Teaching Research;"Education (Q1); Linguistics and Language (Q1)"
Machine Learning;"Artificial Intelligence (Q1); Software (Q1)"
American Journal of Physiology - Lung Cellular and Molecular Physiology;"Cell Biology (Q1); Physiology (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
Lab on a Chip;"Biochemistry (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
