Title;Publisher
Journal of Geophysical Research F: Earth Surface;Wiley-Blackwell Publishing Ltd
Sociological Review;SAGE Publications Inc.
Frontiers in Cardiovascular Medicine;Frontiers Media S.A.
School Leadership and Management;Brill Academic Publishers
Biochimica et Biophysica Acta - Gene Regulatory Mechanisms;Elsevier
Biomarker Research;BioMed Central Ltd.
Environment and Society: Advances in Research;Berghahn Books Inc.
Hernia : the journal of hernias and abdominal wall surgery;Springer Paris
Journal of Phonetics;Academic Press Inc.
Genome Biology and Evolution;Oxford University Press
IEEE Consumer Electronics Magazine;Institute of Electrical and Electronics Engineers Inc.
Energy for Sustainable Development;Elsevier
Frontiers in Cell and Developmental Biology;Frontiers Media S.A.
npj Science of Learning;Nature Publishing Group
Annales de l'Institut Fourier;Association des Annales de l'Institut Fourier
Nicotine and Tobacco Research;Oxford University Press
Translational Stroke Research;Springer US
Drug and Alcohol Dependence;Elsevier Ireland Ltd
Journal of Archaeological Science;Academic Press Inc.
Journal of Modern Power Systems and Clean Energy;Institute of Electrical and Electronics Engineers Inc.
Journal of Pathology: Clinical Research;Wiley-Blackwell Publishing Ltd
Mammal Review;Wiley-Blackwell Publishing Ltd
Plastic and Reconstructive Surgery;Lippincott Williams and Wilkins Ltd.
Safety Science;Elsevier
Journal of Informetrics;Elsevier BV
Particle and Fibre Toxicology;BioMed Central Ltd.
Proceedings of the Aristotelean Society;Oxford University Press
Asian Journal of Psychiatry;Elsevier
Games and Economic Behavior;Academic Press Inc.
Current Oncology Reports;Current Science, Inc.
Fractional Calculus and Applied Analysis;Walter de Gruyter GmbH
Higher Education Research and Development;Taylor and Francis Ltd.
Review of Managerial Science;Springer Verlag
Skeletal Muscle;BioMed Central Ltd.
Space Weather;Wiley-Blackwell
Information Systems Frontiers;Springer Netherlands
Journal of Lightwave Technology;Institute of Electrical and Electronics Engineers Inc.
Seminars in Hematology;W.B. Saunders Ltd
Advances in Combinatorics;Alliance of Diamond Open Access Journals
Organic Reactions;"John Wiley &amp; Sons Inc."
Journal of Cardiac Failure;Churchill Livingstone
Eye;Nature Publishing Group
Industrial Relations;Wiley-Blackwell Publishing Ltd
Environmental Modelling and Software;Elsevier BV
European Journal of Agronomy;Elsevier
Soil Dynamics and Earthquake Engineering;Elsevier BV
Chemical Geology;Elsevier
Critical Reviews in Biotechnology;Informa Healthcare
Frontiers in Neuroanatomy;Frontiers Media S.A.
Journal of Communications and Networks;Korean Institute of Communication Sciences
Diabetes and Metabolism Journal;Korean Diabetes Association
Geoforum;Elsevier BV
Marine and Petroleum Geology;Elsevier BV
Neoplasia;Neoplasia Press
Computers and Structures;Elsevier Ltd.
Sustainable Energy and Fuels;Royal Society of Chemistry
Journal of Agricultural Economics;Wiley-Blackwell
Advanced Materials Interfaces;John Wiley and Sons Ltd
Cell Proliferation;Wiley-Blackwell Publishing Ltd
Geobiology;Wiley-Blackwell Publishing Ltd
Journal of Sex Research;Taylor and Francis Ltd.
Mutation Research - Reviews in Mutation Research;Elsevier
Oral Oncology;Elsevier Ltd.
Psychology of Aesthetics, Creativity, and the Arts;American Psychological Association
American Journal of Criminal Justice;Springer New York
Chemical Record;"John Wiley &amp; Sons Inc."
Current Opinion in Systems Biology;Elsevier Ltd.
eNeuro;Society for Neuroscience
Journal of Materiomics;Chinese Ceramic Society
Democratization;Taylor and Francis Ltd.
Pathogens and Immunity;Case Western Reserve University
Annals of Family Medicine;Annals of Family Medicine, Inc
Journal of Systems and Software;Elsevier Inc.
NeuroImage: Clinical;Elsevier BV
Solar Energy;Elsevier Ltd.
Aerospace Science and Technology;Elsevier Masson s.r.l.
Genes Chromosomes and Cancer;Wiley-Liss Inc.
International Journal of Neuropsychopharmacology;Oxford University Press
Neurogastroenterology and Motility;Wiley-Blackwell Publishing Ltd
Sports Medicine - Open;SpringerOpen
Climate Services;Elsevier BV
Endocrine-Related Cancer;BioScientifica Ltd.
Environmental and Resource Economics;Springer Netherlands
Journal of Magnetic Resonance Imaging;"John Wiley &amp; Sons Inc."
Biochimica et Biophysica Acta - Molecular Basis of Disease;Elsevier
Cortex;Masson SpA
Current Pollution Reports;Springer International Publishing AG
Extremes;Springer Netherlands
Frontiers in Molecular Biosciences;Frontiers Media S.A.
Plant Reproduction;Springer Verlag
R and D Management;Wiley-Blackwell Publishing Ltd
IEEE Transactions on Aerospace and Electronic Systems;Institute of Electrical and Electronics Engineers Inc.
Ultrasonics Sonochemistry;Elsevier
Computational Mechanics;Springer Verlag
Current Hypertension Reports;Current Medicine Group
Intelligent Systems in Accounting, Finance and Management;John Wiley and Sons Ltd
International Journal of Impact Engineering;Elsevier Ltd.
Journal of Neurosurgery;American Association of Neurological Surgeons
Cellular and Molecular Biology Letters;BioMed Central Ltd.
Cochrane Database of Systematic Reviews;John Wiley and Sons Ltd
Stem cells translational medicine;John Wiley and Sons Ltd
Science China Earth Sciences;Science in China Press
Breast Cancer Research and Treatment;Springer New York
Transplantation;Lippincott Williams and Wilkins Ltd.
Mathematical Finance;Wiley-Blackwell Publishing Ltd
Preventive Medicine;Academic Press Inc.
Diabetic Medicine;Wiley-Blackwell Publishing Ltd
Metacognition and Learning;Springer New York
Laboratory Investigation;Nature Publishing Group
Review of Income and Wealth;Wiley-Blackwell Publishing Ltd
Arthritis Research and Therapy;BioMed Central Ltd.
Biomedical Journal;Wolters Kluwer Medknow Publications
IEEE Geoscience and Remote Sensing Letters;Institute of Electrical and Electronics Engineers Inc.
Science China Life Sciences;Science in China Press
Economic Theory;Springer New York
Vehicle System Dynamics;Taylor and Francis Ltd.
Communications in Analysis and Geometry;International Press of Boston, Inc.
Journal of Sport and Health Science;Elsevier BV
Clinical Science;Portland Press, Ltd.
European Journal of Soil Science;Wiley-Blackwell Publishing Ltd
Journal of Urban Technology;Routledge
JPhys Materials;IOP Publishing Ltd.
Organic Geochemistry;Elsevier Ltd.
Atherosclerosis;Elsevier Ireland Ltd
Cell Death Discovery;Nature Publishing Group
Investigative Ophthalmology and Visual Science;Association for Research in Vision and Ophthalmology Inc.
Lung Cancer;Elsevier Ireland Ltd
Anesthesia and Analgesia;Lippincott Williams and Wilkins Ltd.
Clinical and Experimental Immunology;Oxford University Press
Collabra: Psychology;University of California Press
Current Opinion in Psychiatry;Lippincott Williams and Wilkins Ltd.
Developmental Medicine and Child Neurology;Wiley-Blackwell
ICT Express;Korean Institute of Communications Information Sciences
Ad Hoc Networks;Elsevier
Biology of Blood and Marrow Transplantation;Elsevier Inc.
Journal of Colloid and Interface Science;Academic Press Inc.
Statistical Methods in Medical Research;SAGE Publications Ltd
Journal of Experimental Psychology: Learning Memory and Cognition;American Psychological Association
Infectious Disease Clinics of North America;W.B. Saunders Ltd
International Journal of Systems Science: Operations and Logistics;Taylor and Francis Ltd.
Journal of Hospitality and Tourism Research;SAGE Publications Inc.
Second Language Research;SAGE Publications Ltd
Active Learning in Higher Education;SAGE Publications Ltd
Journal of Neurosurgery: Spine;American Association of Neurological Surgeons
Endocrinology;Endocrine Society
Advanced Synthesis and Catalysis;Wiley-VCH Verlag
Journal of CO2 Utilization;Elsevier BV
Methods;Academic Press Inc.
Vaccine;Elsevier BV
American Journal of Nephrology;S. Karger AG
Catena;Elsevier
Journal of Athletic Training;National Athletic Trainers' Association Inc.
Party Politics;SAGE Publications Ltd
Retrovirology;BioMed Central Ltd.
Discourse Studies;SAGE Publications Ltd
Journal of Nonlinear Science;Springer New York
Journal of Pharmaceutical Analysis;Xi'an Jiaotong University
npj Systems Biology and Applications;Nature Publishing Group
Research in Social Stratification and Mobility;JAI Press
Sensors and Actuators B: Chemical;Elsevier
Wiley Interdisciplinary Reviews: Energy and Environment;John Wiley and Sons Ltd
American Journal of Physiology - Gastrointestinal and Liver Physiology;American Physiological Society
Frontiers in Cellular and Infection Microbiology;Frontiers Media S.A.
Geophysical Journal International;Oxford University Press
International Journal of Strategic Communication;Routledge
Journal of Thoracic and Cardiovascular Surgery;Mosby Inc.
Journal of Constructional Steel Research;Elsevier BV
Medical Care;Lippincott Williams and Wilkins Ltd.
Finite Fields and Their Applications;Academic Press Inc.
Food Security;Springer Netherlands
Journal of Computing in Higher Education;Springer US
Atmospheric Research;Elsevier BV
Spine;Lippincott Williams and Wilkins Ltd.
Adolescent Research Review;Springer International Publishing AG
FASEB Journal;"John Wiley &amp; Sons Inc."
Journal of Applied Crystallography;International Union of Crystallography
Journal of Structural Engineering;American Society of Civil Engineers (ASCE)
City and Community;SAGE Publications Ltd
Economy and Society;Routledge
Journal of International Management;Elsevier Inc.
Journal of Proteome Research;American Chemical Society
Psychotherapy Research;Routledge
Advances in Chronic Kidney Disease;W.B. Saunders Ltd
Atmospheric Environment;Elsevier Ltd.
Biometrics;Wiley-Blackwell Publishing Ltd
Consumption Markets and Culture;Routledge
Reviews in Mineralogy and Geochemistry;Mineralogical Society of America
Scandinavian Journal of Medicine and Science in Sports;Blackwell Munksgaard
Comunicar;Grupo Communicar Ediciones
Nonlinearity;IOP Publishing Ltd.
Critical Perspectives on Accounting;Academic Press Inc.
International Journal of Obesity;Nature Publishing Group
Journal of Evolution Equations;Birkhauser Verlag Basel
Journal of NeuroImmune Pharmacology;Springer New York
Journal of Philosophical Logic;Springer Netherlands
Journal of the Royal Society Interface;The Royal Society
Ocean Engineering;Elsevier BV
Journal of English for Academic Purposes;Elsevier BV
Current Opinion in Food Science;Elsevier BV
International Journal of Drug Policy;Elsevier
Interpreter and Translator Trainer;Taylor and Francis Ltd.
Thin-Walled Structures;Elsevier Ltd.
Autism Research;"John Wiley &amp; Sons Inc."
Journal of Optical Communications and Networking;Institute of Electrical and Electronics Engineers Inc.
mSphere;American Society for Microbiology
Frontiers in Endocrinology;Frontiers Media S.A.
Fuel Processing Technology;Elsevier
Academic Emergency Medicine;Wiley-Blackwell
Journal of Neurotrauma;Mary Ann Liebert Inc.
Nutrition Research Reviews;Cambridge University Press
Psychoneuroendocrinology;Elsevier Ltd.
Stem Cells;Wiley-Blackwell
Elementa;University of California Press
International Migration Review;Wiley-Blackwell
Scoliosis and Spinal Disorders;BioMed Central Ltd.
Addictive Behaviors;Elsevier Ltd.
American Journal of Roentgenology;American Roentgen Ray Society
Journal of Social Issues;Wiley-Blackwell Publishing Ltd
Ecosystems;Springer New York
Global and Planetary Change;Elsevier
New Journal of Physics;IOP Publishing Ltd.
Statistics in Medicine;John Wiley and Sons Ltd
Weather and Forecasting;American Meteorological Society
Progress in Neuro-Psychopharmacology and Biological Psychiatry;Elsevier Inc.
Australasian Journal of Philosophy;Taylor and Francis Ltd.
Cold Regions Science and Technology;Elsevier
International Journal for Equity in Health;BioMed Central Ltd.
Political Geography;Elsevier BV
Psychology of Sport and Exercise;Elsevier BV
IEEE Transactions on Computational Social Systems;IEEE Systems, Man, and Cybernetics Society
International Journal of Neural Systems;World Scientific Publishing Co. Pte Ltd
Journal of Positive Psychology;Routledge
ZDM - International Journal on Mathematics Education;Springer Verlag
Journal of Cataract and Refractive Surgery;Wolters Kluwer Health
Rice;Springer Publishing Company
European Journal of Orthodontics;Oxford University Press
Metabarcoding and Metagenomics;Pensoft Publishers
Biochar;Springer Science and Business Media B.V.
Electronic Commerce Research and Applications;Elsevier
Glycobiology;Oxford University Press
IEEE Transactions on Network Science and Engineering;IEEE Computer Society
JMIR Mental Health;JMIR Publications Inc.
